Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
2025-07-01,MITCHELL PARK,5043,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
2025-07-01,MITCHELL PARK,5043,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,MITCHELL PARK,5043,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of other prescribed officer,1
2025-07-01,MITCHELL PARK,5043,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
2025-07-01,MODBURY,5092,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,MODBURY,5092,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,MODBURY,5092,OFFENCES AGAINST THE PERSON,"ROBBERY, BLACKMAIL, AND EXTORTION",Robbery,1
2025-07-01,MODBURY HEIGHTS,5092,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,3
2025-07-01,MORPHETT VALE,5162,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,2
2025-07-01,MORPHETT VALE,5162,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,MORPHETT VALE,5162,OFFENCES AGAINST THE PERSON,"ROBBERY, BLACKMAIL, AND EXTORTION",Robbery,1
2025-07-01,MOUNT BARKER,5251,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Arson,1
2025-07-01,MOUNT BARKER,5251,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,MOUNT BARKER,5251,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,MOUNT GAMBIER,5290,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,2
2025-07-01,MOUNT GAMBIER,5290,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,MUNNO PARA,5115,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,2
2025-07-01,MUNNO PARA,5115,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
2025-07-01,MUNNO PARA WEST,5115,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,MURRAY BRIDGE,5253,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-01,MURRAY BRIDGE,5253,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,MURRAY BRIDGE,5253,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,MURRAY BRIDGE,5253,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,3
2025-07-01,MURRAY BRIDGE,5253,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,3
2025-07-01,NEW PORT,5015,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
2025-07-01,NEW TOWN,5554,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,NOARLUNGA CENTRE,5168,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,NOARLUNGA CENTRE,5168,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,NORTH ADELAIDE,5006,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
2025-07-01,NORTHFIELD,5085,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of other prescribed officer,1
2025-07-01,NORTHFIELD,5085,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,NORTHFIELD,5085,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
2025-07-01,NORTH HAVEN,5018,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,NORWOOD,5067,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,NORWOOD,5067,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
2025-07-01,NOT DISCLOSED,NOT DISCLOSED,OFFENCES AGAINST THE PERSON,SEXUAL OFFENCES,Aggravated sexual assault,5
2025-07-01,NOT DISCLOSED,NOT DISCLOSED,OFFENCES AGAINST THE PERSON,SEXUAL OFFENCES,Non-aggravated sexual assault,1
2025-07-01,OAKDEN,5086,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,OAKLANDS PARK,5046,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
2025-07-01,OAKLANDS PARK,5046,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
2025-07-01,OAKLANDS PARK,5046,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,3
2025-07-01,PARAFIELD,5106,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
2025-07-01,PARAFIELD GARDENS,5107,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
2025-07-01,PARAFIELD GARDENS,5107,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,PARAFIELD GARDENS,5107,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,PARAFIELD GARDENS,5107,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,PARA HILLS,5096,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,PARA HILLS,5096,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,PARA HILLS,5096,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,2
2025-07-01,PARALOWIE,5108,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,PARALOWIE,5108,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,PARALOWIE,5108,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
